ID_hecho,AAAA,MM,VICTIMA
2021-0001,2021,1,MOTO
2021-0002,2021,1,MOTO
2021-0003,2021,1,MOTO
2021-0006,2021,1,MOTO
2021-0007,2021,1,MOTO
2021-0009,2021,1,MOTO
2021-0010,2021,1,MOTO
2021-0013,2021,1,MOTO
2021-0015,2021,2,MOTO
2021-0017,2021,2,MOTO
2021-0019,2021,2,MOTO
2021-0021,2021,2,MOTO
2021-0023,2021,3,MOTO
2021-0025,2021,3,MOTO
2021-0026,2021,3,MOTO
2021-0027,2021,3,MOTO
2021-0034,2021,4,MOTO
2021-0035,2021,5,MOTO
2021-0036,2021,5,MOTO
2021-0038,2021,5,MOTO
2021-0040,2021,5,MOTO
2021-0044,2021,5,MOTO
2021-0045,2021,5,MOTO
2021-0047,2021,6,MOTO
2021-0050,2021,6,MOTO
2021-0052,2021,6,MOTO
2021-0054,2021,6,MOTO
2021-0055,2021,6,MOTO
2021-0067,2021,8,MOTO
2021-0068,2021,8,MOTO
2021-0070,2021,8,MOTO
2021-0074,2021,9,MOTO
2021-0076,2021,10,MOTO
2021-0077,2021,10,MOTO
2021-0078,2021,10,MOTO
2021-0080,2021,10,MOTO
2021-0081,2021,11,MOTO
2021-0082,2021,11,MOTO
2021-0083,2021,11,MOTO
2021-0085,2021,11,MOTO
2021-0088,2021,12,MOTO
2021-0089,2021,12,MOTO
2021-0091,2021,12,MOTO
2021-0093,2021,12,MOTO
2021-0094,2021,12,MOTO
2021-0095,2021,12,MOTO
